CLOUD,Name,EntrezIDs,Symbols
CLOUD001,Desoxycorticosterone Pivalate,4306,NR3C2
CLOUD002,Aliskiren,5972;1576,REN;CYP3A4
CLOUD003,Chloroquine,2939;7124;54106;1576;1565;1565;1543;1558;1577,GSTA2;TNF;TLR9;CYP3A4;CYP2D6;CYP2D6;CYP1A1;CYP2C8;CYP3A5
CLOUD004,Dexmedetomidine,150;1571;1544;1543;1565,ADRA2A;CYP2E1;CYP1A2;CYP1A1;CYP2D6
CLOUD005,Zaleplon,2554;706;1576;1577;1551;316,GABRA1;TSPO;CYP3A4;CYP3A5;CYP3A7;AOX1
CLOUD006,Maprotiline,6530;3269;1128;1129;1131;1132;1133;148;3356;3358;3363;1813;150;1565;1544;5004,SLC6A2;HRH1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;ADRA1A;HTR2A;HTR2C;HTR7;DRD2;ADRA2A;CYP2D6;CYP1A2;ORM1
CLOUD007,Isosorbide Dinitrate,4881;1576;1571,NPR1;CYP3A4;CYP2E1
CLOUD008,Argatroban,2147;1576;1577,F2;CYP3A4;CYP3A5
CLOUD009,Pyridostigmine,43;43;590;213;1576,ACHE;ACHE;BCHE;ALB;CYP3A4
CLOUD010,Azatadine,3269;1576,HRH1;CYP3A4
CLOUD011,Pramipexole,1814;1813;1815;151;3350;3352;150;3351;3356;3357;3358;152;1812;1816;6582;6580,DRD3;DRD2;DRD4;ADRA2B;HTR1A;HTR1D;ADRA2A;HTR1B;HTR2A;HTR2B;HTR2C;ADRA2C;DRD1;DRD5;SLC22A2;SLC22A1
CLOUD012,Carbachol,1128;1129;1135;43;1131;1132;5321,CHRM1;CHRM2;CHRNA2;ACHE;CHRM3;CHRM4;PLA2G4A
CLOUD013,Asenapine,1813;3356;3350;3351;3357;3358;3361;3362;3363;150;151;152;148;1812;1814;1815;3269;3274;153;154;1544;1565;54657;1576,DRD2;HTR2A;HTR1A;HTR1B;HTR2B;HTR2C;HTR5A;HTR6;HTR7;ADRA2A;ADRA2B;ADRA2C;ADRA1A;DRD1;DRD3;DRD4;HRH1;HRH2;ADRB1;ADRB2;CYP1A2;CYP2D6;UGT1A4;CYP3A4
CLOUD014,Ticalopride,3360;3359,HTR4;HTR3A
CLOUD015,Amodiaquine,3176;1558;1543;1545;1565;1559,HNMT;CYP2C8;CYP1A1;CYP1B1;CYP2D6;CYP2C9
CLOUD016,Rosiglitazone,5468;2182;5465;5467;6256;6257;6258;1558;1558;1559;1559;5742;1544;1548;1557;1565;10599;213,PPARG;ACSL4;PPARA;PPARD;RXRA;RXRB;RXRG;CYP2C8;CYP2C8;CYP2C9;CYP2C9;PTGS1;CYP1A2;CYP2A6;CYP2C19;CYP2D6;SLCO1B1;ALB
CLOUD017,Amiloride,6337;6338;6340;6339;26;40;41;6548;5328;26;26;6582;6580;6583,SCNN1A;SCNN1B;SCNN1G;SCNN1D;AOC1;ASIC2;ASIC1;SLC9A1;PLAU;AOC1;AOC1;SLC22A2;SLC22A1;SLC22A4
CLOUD018,Hydroxychloroquine,51284;54106;1565,TLR7;TLR9;CYP2D6
CLOUD019,Clopidogrel,64805;1576;1555;1555;1577;1557;1559;1559;1544;1558;1066;5243,P2RY12;CYP3A4;CYP2B6;CYP2B6;CYP3A5;CYP2C19;CYP2C9;CYP2C9;CYP1A2;CYP2C8;CES1;ABCB1
CLOUD020,Tranylcypromine,4128;4129;1576;1565;1559;1557;1544;1571;1548,MAOA;MAOB;CYP3A4;CYP2D6;CYP2C9;CYP2C19;CYP1A2;CYP2E1;CYP2A6
CLOUD021,Oseltamivir,1066;4758;4759;10257;6564;9376,CES1;NEU1;NEU2;ABCC4;SLC15A1;SLC22A8
CLOUD022,Oxyphenonium,1128,CHRM1
CLOUD023,Dopamine,1813;1812;1816;1814;1815;6531;1621;3350;3363;1812;6530;6532;3359;9177;6647;6571;4128;4129;1312;1621;1544;1557;1559;1565;6582;6582;6580;6580;6581;6584;5460,DRD2;DRD1;DRD5;DRD3;DRD4;SLC6A3;DBH;HTR1A;HTR7;DRD1;SLC6A2;SLC6A4;HTR3A;HTR3B;SOD1;SLC18A2;MAOA;MAOB;COMT;DBH;CYP1A2;CYP2C19;CYP2C9;CYP2D6;SLC22A2;SLC22A2;SLC22A1;SLC22A1;SLC22A3;SLC22A5;POU5F1
CLOUD024,Bortezomib,5693;5689;1576;1576;1557;1557;1565;1544;1544;1559;1559,PSMB5;PSMB1;CYP3A4;CYP3A4;CYP2C19;CYP2C19;CYP2D6;CYP1A2;CYP1A2;CYP2C9;CYP2C9
CLOUD025,Trifluoperazine,1813;50632;148;801;7134;6275;7498;54657;1544;5243,DRD2;CALY;ADRA1A;CALM1;TNNC1;S100A4;XDH;UGT1A4;CYP1A2;ABCB1
CLOUD026,Maraviroc,1234;1576,CCR5;CYP3A4
CLOUD027,Ulipristal,5241;2908;367;1576;1544;213;5004,PGR;NR3C1;AR;CYP3A4;CYP1A2;ALB;ORM1
CLOUD028,Olmesartan,185;1244;1244;28234;10599,AGTR1;ABCC2;ABCC2;SLCO1B3;SLCO1B1
CLOUD029,Diphenidol,1128;1131;1129,CHRM1;CHRM3;CHRM2
CLOUD030,Pargyline,4129;4128,MAOB;MAOA
CLOUD031,Fluorouracil,7298;1559;1544;1890;1806;7378;151531;1548;1558;4524;7298;7372;5471;10864;2030;9429;8714;10257;10057;213,TYMS;CYP2C9;CYP1A2;TYMP;DPYD;UPP1;UPP2;CYP2A6;CYP2C8;MTHFR;TYMS;UMPS;PPAT;SLC22A7;SLC29A1;ABCG2;ABCC3;ABCC4;ABCC5;ALB
CLOUD032,Memantine,116443;2903;2904;3359;1139;1813;2902;1555;1548;1557;6582,GRIN3A;GRIN2A;GRIN2B;HTR3A;CHRNA7;DRD2;GRIN1;CYP2B6;CYP2A6;CYP2C19;SLC22A2
CLOUD033,Fluvoxamine,6532;3757;1565;1565;1544;1544;1571;1543;1576;1577;1551;1559;1557;1555;1558;5243,SLC6A4;KCNH2;CYP2D6;CYP2D6;CYP1A2;CYP1A2;CYP2E1;CYP1A1;CYP3A4;CYP3A5;CYP3A7;CYP2C9;CYP2C19;CYP2B6;CYP2C8;ABCB1
CLOUD034,3-Amino-2-Oxazolidinone,4129;4128,MAOB;MAOA
CLOUD035,Ibutilide,775;782;3757;781;786;3775;9424;81033;90134;3767,CACNA1C;CACNB1;KCNH2;CACNA2D1;CACNG1;KCNK1;KCNK6;KCNH6;KCNH7;KCNJ11
