CLOUD,Name,EntrezIDs,Symbols
CLOUD001,Desoxycorticosterone Pivalate,2908;367,NR3C1;AR
CLOUD002,Aliskiren,5972,REN
CLOUD003,Chloroquine,4835;259249;1544;3757;51311;1576;51284;5621;1559;54106;55775;1565;1557,NQO2;MRGPRX1;CYP1A2;KCNH2;TLR8;CYP3A4;TLR7;PRNP;CYP2C9;TLR9;TDP1;CYP2D6;CYP2C19
CLOUD004,Dexmedetomidine,1544;1576;146;1557;150;1559;152,CYP1A2;CYP3A4;ADRA1D;CYP2C19;ADRA2A;CYP2C9;ADRA2C
CLOUD005,Zaleplon,2561;2562;2555;2554;2566,GABRB2;GABRB3;GABRA2;GABRA1;GABRG2
CLOUD006,Maprotiline,6530;6531;150;1544;1559;152;146;1812;1813;1814;151;1816;5914;3356;1565;3358;3362;6311;1576;4137;2475;7468;3757;3357;2737;2100;3269;3274;3725;7253;54799;5468;55775;1128;1129;1131;1132;1133;367;7157,SLC6A2;SLC6A3;ADRA2A;CYP1A2;CYP2C9;ADRA2C;ADRA1D;DRD1;DRD2;DRD3;ADRA2B;DRD5;RARA;HTR2A;CYP2D6;HTR2C;HTR6;ATXN2;CYP3A4;MAPT;MTOR;NSD2;KCNH2;HTR2B;GLI3;ESR2;HRH1;HRH2;JUN;TSHR;MBTD1;PPARG;TDP1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;AR;TP53
CLOUD007,Isosorbide Dinitrate,,
CLOUD008,Argatroban,1814,DRD3
CLOUD009,Pyridostigmine,10951;1544;590;1576;1559;1565,CBX1;CYP1A2;BCHE;CYP3A4;CYP2C9;CYP2D6
CLOUD010,Azatadine,2737;5914,GLI3;RARA
CLOUD011,Pramipexole,1813;1814;1815;55775;3356,DRD2;DRD3;DRD4;TDP1;HTR2A
CLOUD012,Carbachol,3725;7201;5029;259249;7253;5335;1128;1129;1131;1132;1133,JUN;TRHR;P2RY2;MRGPRX1;TSHR;PLCG1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5
CLOUD013,Asenapine,3274,HRH2
CLOUD014,Ticalopride,,
CLOUD015,Amodiaquine,60482;6595;1573;1544;1812;1558;1565,SLC5A7;SMARCA2;CYP2J2;CYP1A2;DRD1;CYP2C8;CYP2D6
CLOUD016,Rosiglitazone,4128;4129;55847;3248;2864;5465;5467;5468;8647,MAOA;MAOB;CISD1;HPGD;FFAR1;PPARA;PPARD;PPARG;ABCB11
